sequence_id,timestep,heart_rate_bpm,hrv_ms,blood_oxygen_pct,accel_g,resp_rate_bpm,skin_temp_c,gsr_microsiemens,noise_db,steps_per_min,sleep_debt_hours,activity_level,noise_environment,skin_temp_profile,gsr_state,label
1,1,65.72,54.18,96.75,0.302,11.22,36.64,4.59,35.83,23,0.27,moderate,quiet,normal,alert,rested
1,2,67.76,58.87,97.29,0.161,11.52,36.54,5.08,39.69,21,0.27,moderate,quiet,normal,alert,rested
1,3,69.58,52.62,97.22,0.278,12.73,36.55,4.73,34.47,25,0.27,moderate,quiet,normal,alert,rested
1,4,65.55,54.72,96.57,0.352,10.95,36.51,5.1,33.43,20,0.27,sedentary,quiet,normal,alert,rested
1,5,66.73,50.07,97.93,0.392,10.5,36.46,4.97,33.76,17,0.27,sedentary,quiet,normal,alert,rested
1,6,66.32,54.4,97.38,0.279,11.13,36.59,4.52,39.68,15,0.27,sedentary,quiet,normal,alert,rested
1,7,65.64,51.0,97.48,0.184,11.98,36.59,4.67,41.15,22,0.27,moderate,busy,normal,alert,rested
1,8,67.02,51.51,97.72,0.324,11.45,36.47,4.52,31.98,15,0.27,sedentary,quiet,normal,alert,rested
1,9,65.01,53.35,97.8,0.313,11.3,36.46,4.01,35.11,6,0.27,sedentary,quiet,normal,calm,rested
1,10,64.81,48.01,98.06,0.224,11.81,36.56,4.15,37.39,9,0.27,sedentary,quiet,normal,calm,rested
1,11,58.39,49.62,98.42,0.194,10.77,36.56,3.55,38.75,12,0.27,sedentary,quiet,normal,calm,rested
1,12,60.23,50.72,98.34,0.16,10.9,36.49,4.09,33.52,18,0.27,sedentary,quiet,normal,calm,rested
1,13,63.45,47.9,97.41,0.349,12.02,36.52,4.06,35.29,10,0.27,sedentary,quiet,normal,calm,rested
1,14,57.84,44.39,98.19,0.066,11.92,36.59,4.05,33.54,5,0.27,sedentary,quiet,normal,calm,rested
1,15,56.82,42.74,96.62,0.176,11.69,36.46,4.42,33.37,9,0.27,sedentary,quiet,normal,calm,rested
1,16,58.15,48.44,97.64,0.175,10.84,36.5,4.18,39.65,2,0.27,sedentary,quiet,normal,calm,rested
1,17,58.5,42.91,97.27,0.254,11.46,36.47,5.18,37.66,0,0.27,sedentary,quiet,normal,alert,rested
1,18,63.59,41.5,97.95,0.303,9.32,36.54,4.56,33.65,0,0.27,sedentary,quiet,normal,alert,rested
1,19,57.3,42.16,97.5,0.232,9.78,36.49,4.61,34.52,0,0.27,sedentary,quiet,normal,alert,rested
1,20,56.59,37.17,97.19,0.214,10.19,36.58,4.88,39.75,0,0.27,sedentary,quiet,normal,alert,rested
1,21,55.39,40.28,97.5,0.163,10.25,36.62,4.81,37.99,1,0.27,sedentary,quiet,normal,alert,rested
1,22,56.74,41.19,97.25,0.315,9.65,36.56,5.26,37.78,0,0.27,sedentary,quiet,normal,alert,rested
1,23,54.79,41.38,96.86,0.382,9.54,36.53,4.96,39.04,0,0.27,sedentary,quiet,normal,alert,rested
1,24,58.67,37.78,97.38,0.237,10.86,36.63,5.06,39.25,0,0.27,sedentary,quiet,normal,alert,rested
1,25,55.29,40.65,97.21,0.314,9.3,36.61,4.68,34.72,0,0.27,sedentary,quiet,normal,alert,rested
1,26,51.66,41.5,97.58,0.288,9.55,36.57,4.82,29.86,0,0.27,sedentary,quiet,normal,alert,rested
1,27,58.26,38.86,97.08,0.291,10.4,36.68,4.84,35.72,0,0.27,sedentary,quiet,normal,alert,rested
1,28,57.44,44.98,97.2,0.174,9.73,36.53,4.88,33.34,0,0.27,sedentary,quiet,normal,alert,rested
1,29,52.51,37.58,97.62,0.135,9.27,36.65,4.63,39.83,5,0.27,sedentary,quiet,normal,alert,rested
1,30,57.98,37.78,97.42,0.262,10.05,36.58,5.0,37.04,0,0.27,sedentary,quiet,normal,alert,rested
1,31,58.66,45.59,97.66,0.18,10.9,36.76,5.01,40.94,0,0.27,sedentary,busy,normal,alert,rested
1,32,68.68,39.8,97.49,0.139,11.57,36.68,4.09,39.53,8,0.27,sedentary,quiet,normal,calm,rested
1,33,59.22,40.7,97.45,0.153,10.72,36.64,4.65,35.18,0,0.27,sedentary,quiet,normal,alert,rested
1,34,58.93,49.42,97.61,0.37,11.11,36.61,4.09,39.2,0,0.27,sedentary,quiet,normal,calm,rested
1,35,67.49,43.43,98.21,0.298,10.87,36.62,4.17,39.4,14,0.27,sedentary,quiet,normal,calm,rested
1,36,62.48,43.25,97.97,0.137,9.74,36.63,3.81,40.16,22,0.27,moderate,busy,normal,calm,rested
1,37,67.76,46.77,97.66,0.27,11.8,36.65,4.29,46.04,12,0.27,sedentary,busy,normal,calm,rested
1,38,62.66,49.86,97.98,0.154,11.13,36.61,4.34,45.06,18,0.27,sedentary,busy,normal,calm,rested
1,39,64.37,47.67,97.53,0.337,11.05,36.73,4.09,37.57,26,0.27,moderate,quiet,normal,calm,rested
1,40,60.27,54.95,96.82,0.257,11.39,36.7,3.64,31.88,13,0.27,sedentary,quiet,normal,calm,rested
1,41,66.01,49.54,97.39,0.176,11.35,36.61,4.73,40.54,26,0.27,moderate,busy,normal,alert,rested
1,42,64.83,52.01,97.42,0.248,11.64,36.56,4.83,35.14,13,0.27,sedentary,quiet,normal,alert,rested
1,43,62.99,57.09,97.28,0.361,11.91,36.55,4.45,40.79,15,0.27,sedentary,busy,normal,calm,rested
1,44,64.63,53.6,97.21,0.183,11.61,36.6,4.05,39.86,16,0.27,sedentary,quiet,normal,calm,rested
1,45,70.93,51.1,96.61,0.353,10.9,36.58,5.04,37.17,11,0.27,sedentary,quiet,normal,alert,rested
1,46,68.34,54.25,97.73,0.301,13.7,36.52,4.88,34.76,29,0.27,moderate,quiet,normal,alert,rested
1,47,70.04,57.24,96.89,0.191,10.68,36.68,5.05,37.67,28,0.27,moderate,quiet,normal,alert,rested
2,0,60.59,48.39,97.72,0.282,11.97,36.58,4.55,46.31,19,0.94,sedentary,busy,normal,alert,rested
2,1,67.51,51.38,97.86,0.409,11.56,36.69,4.33,40.65,22,0.94,moderate,busy,normal,calm,rested
2,2,64.07,55.56,97.2,0.206,11.59,36.72,4.75,41.77,14,0.94,sedentary,busy,normal,alert,rested
2,3,66.7,49.48,97.17,0.339,11.65,36.69,4.67,37.64,27,0.94,moderate,quiet,normal,alert,rested
2,4,65.36,49.09,97.86,0.302,10.45,36.61,4.66,44.23,16,0.94,sedentary,busy,normal,alert,rested
2,5,65.93,51.44,96.86,0.208,10.95,36.55,4.35,32.88,11,0.94,sedentary,quiet,normal,calm,rested
2,6,66.38,52.52,96.75,0.296,11.82,36.57,4.72,43.91,23,0.94,moderate,busy,normal,alert,rested
2,7,69.07,47.09,96.95,0.079,11.63,36.6,4.68,40.31,16,0.94,sedentary,busy,normal,alert,rested
2,8,69.43,50.32,97.1,0.284,12.22,36.56,5.48,37.14,19,0.94,sedentary,quiet,normal,alert,rested
2,9,61.09,60.29,97.05,0.156,12.69,36.62,4.93,33.57,24,0.94,moderate,quiet,normal,alert,rested
2,10,66.33,51.34,97.63,0.083,12.22,36.57,5.5,39.64,9,0.94,sedentary,quiet,normal,alert,rested
2,11,65.59,54.77,97.38,0.336,10.68,36.52,5.15,43.74,33,0.94,moderate,busy,normal,alert,rested
2,12,66.41,57.47,97.97,0.36,12.24,36.57,4.59,33.05,27,0.94,moderate,quiet,normal,alert,rested
2,13,66.12,53.57,97.1,0.238,11.89,36.47,4.8,38.98,20,0.94,sedentary,quiet,normal,alert,rested
2,14,64.66,55.38,98.15,0.224,12.42,36.55,3.93,35.67,15,0.94,sedentary,quiet,normal,calm,rested
2,15,67.91,52.85,97.66,0.322,11.05,36.46,4.3,37.9,17,0.94,sedentary,quiet,normal,calm,rested
2,16,65.77,49.27,97.92,0.338,12.43,36.53,4.65,40.94,20,0.94,moderate,busy,normal,alert,rested
2,17,63.03,54.41,98.33,0.412,11.42,36.51,4.64,38.58,19,0.94,sedentary,quiet,normal,alert,rested
2,18,63.63,49.0,98.45,0.25,11.33,36.53,4.47,39.52,13,0.94,sedentary,quiet,normal,calm,rested
2,19,60.12,48.47,97.39,0.233,10.47,36.53,4.56,39.32,12,0.94,sedentary,quiet,normal,alert,rested
2,20,63.44,41.63,97.51,0.181,11.27,36.48,3.94,38.59,8,0.94,sedentary,quiet,normal,calm,rested
2,21,58.94,47.47,97.86,0.276,11.34,36.52,4.34,35.16,4,0.94,sedentary,quiet,normal,calm,rested
2,22,57.16,54.08,97.41,0.166,10.61,36.47,4.16,31.79,2,0.94,sedentary,quiet,normal,calm,rested
2,23,56.6,44.05,97.47,0.132,10.84,36.46,4.7,37.15,8,0.94,sedentary,quiet,normal,alert,rested
2,24,56.04,45.44,97.48,0.227,10.8,36.48,4.57,37.24,13,0.94,sedentary,quiet,normal,alert,rested
2,25,61.01,44.01,97.08,0.118,10.1,36.48,4.72,35.45,10,0.94,sedentary,quiet,normal,alert,rested
2,26,58.06,35.69,97.28,0.014,9.96,36.47,4.48,37.36,0,0.94,sedentary,quiet,normal,calm,rested
2,27,56.01,45.5,97.88,0.147,11.08,36.43,4.48,43.67,0,0.94,sedentary,busy,normal,calm,rested
2,28,58.45,36.59,97.28,0.243,11.27,36.48,4.76,40.31,0,0.94,sedentary,busy,normal,alert,rested
2,29,54.57,39.65,97.32,0.346,9.63,36.5,4.92,37.53,0,0.94,sedentary,quiet,normal,alert,rested
2,30,56.28,37.34,96.92,0.327,9.49,36.59,4.93,33.86,0,0.94,sedentary,quiet,normal,alert,rested
2,31,56.53,41.44,97.68,0.274,9.69,36.52,4.59,35.89,0,0.94,sedentary,quiet,normal,alert,rested
2,32,56.05,37.54,96.91,0.337,9.8,36.51,4.85,37.66,0,0.94,sedentary,quiet,normal,alert,rested
2,33,58.08,41.55,97.22,0.32,10.42,36.57,5.17,44.38,0,0.94,sedentary,busy,normal,alert,rested
2,34,57.21,41.77,97.08,0.213,10.66,36.5,5.42,41.55,0,0.94,sedentary,busy,normal,alert,rested
2,35,56.44,44.68,96.86,0.199,9.79,36.57,4.56,38.87,0,0.94,sedentary,quiet,normal,alert,rested
2,36,54.58,44.63,96.73,0.174,10.42,36.59,4.95,35.95,0,0.94,sedentary,quiet,normal,alert,rested
2,37,55.39,38.29,97.54,0.219,10.71,36.64,5.09,41.27,5,0.94,sedentary,busy,normal,alert,rested
2,38,59.41,39.43,97.29,0.092,10.5,36.58,4.85,40.18,0,0.94,sedentary,busy,normal,alert,rested
2,39,55.51,40.67,97.26,0.234,9.71,36.62,4.16,30.96,6,0.94,sedentary,quiet,normal,calm,rested
2,40,55.4,40.87,96.99,0.094,10.26,36.61,4.88,40.16,2,0.94,sedentary,busy,normal,alert,rested
2,41,61.24,46.81,97.81,0.162,11.21,36.72,4.71,44.79,10,0.94,sedentary,busy,normal,alert,rested
2,42,62.19,41.15,97.3,0.183,9.71,36.61,4.69,36.17,9,0.94,sedentary,quiet,normal,alert,rested
2,43,57.45,43.95,98.25,0.2,11.0,36.73,4.73,35.27,16,0.94,sedentary,quiet,normal,alert,rested
2,44,60.06,46.42,97.95,0.267,10.26,36.66,4.4,40.96,8,0.94,sedentary,busy,normal,calm,rested
2,45,64.9,45.38,98.41,0.22,10.22,36.66,4.3,36.87,6,0.94,sedentary,quiet,normal,calm,rested
2,46,62.57,44.23,98.52,0.126,10.78,36.7,4.51,40.85,21,0.94,moderate,busy,normal,alert,rested
2,47,63.14,46.43,98.08,0.301,11.09,36.57,4.8,40.51,6,0.94,sedentary,busy,normal,alert,rested
3,0,63.86,47.72,97.34,0.194,11.09,36.52,4.65,40.8,23,1.23,moderate,busy,normal,alert,rested
3,1,63.44,50.4,97.9,0.384,11.9,36.55,4.78,42.26,4,1.23,sedentary,busy,normal,alert,rested
3,2,65.83,49.82,97.8,0.187,10.99,36.49,4.64,33.2,15,1.23,sedentary,quiet,normal,alert,rested
3,3,61.46,45.3,98.04,0.181,10.73,36.43,4.39,38.22,5,1.23,sedentary,quiet,normal,calm,rested
3,4,59.98,46.56,98.15,0.099,11.31,36.43,5.03,34.73,5,1.23,sedentary,quiet,normal,alert,rested
3,5,61.78,43.36,98.24,0.325,10.66,36.48,4.13,38.21,17,1.23,sedentary,quiet,normal,calm,rested
3,6,62.76,42.32,98.42,0.277,11.07,36.44,4.39,35.62,10,1.23,sedentary,quiet,normal,calm,rested
3,7,58.99,37.34,98.07,0.205,11.31,36.47,4.52,42.45,8,1.23,sedentary,busy,normal,alert,rested
3,8,59.79,52.74,97.54,0.212,11.6,36.44,4.23,33.59,7,1.23,sedentary,quiet,normal,calm,rested
3,9,59.98,44.44,96.98,0.292,11.18,36.48,4.63,40.93,5,1.23,sedentary,busy,normal,alert,rested
3,10,59.42,38.16,97.37,0.131,10.75,36.52,4.66,39.48,0,1.23,sedentary,quiet,normal,alert,rested
3,11,59.44,39.32,97.42,0.335,9.84,36.56,4.79,38.35,4,1.23,sedentary,quiet,normal,alert,rested
3,12,53.73,41.91,97.34,0.348,10.1,36.49,4.91,37.82,0,1.23,sedentary,quiet,normal,alert,rested
3,13,56.0,43.45,97.23,0.213,10.6,36.43,4.21,38.19,0,1.23,sedentary,quiet,normal,calm,rested
3,14,56.78,36.62,97.17,0.185,10.27,36.45,4.83,39.32,0,1.23,sedentary,quiet,normal,alert,rested
3,15,54.76,41.45,97.83,0.186,10.31,36.48,4.49,44.13,2,1.23,sedentary,busy,normal,calm,rested
3,16,53.99,39.66,97.46,0.324,11.45,36.58,4.0,37.58,0,1.23,sedentary,quiet,normal,calm,rested
3,17,55.53,39.1,96.95,0.221,10.92,36.59,4.69,40.94,2,1.23,sedentary,busy,normal,alert,rested
3,18,59.35,36.08,97.54,0.25,10.82,36.56,4.2,38.57,0,1.23,sedentary,quiet,normal,calm,rested
3,19,55.88,39.39,97.1,0.167,9.49,36.54,4.78,42.76,3,1.23,sedentary,busy,normal,alert,rested
3,20,55.58,43.84,96.75,0.323,10.11,36.6,5.0,35.65,4,1.23,sedentary,quiet,normal,alert,rested
3,21,57.17,47.82,97.24,0.351,10.67,36.54,5.17,34.5,0,1.23,sedentary,quiet,normal,alert,rested
3,22,59.83,44.47,97.45,0.21,11.31,36.64,4.5,40.97,0,1.23,sedentary,busy,normal,alert,rested
3,23,56.88,38.89,96.62,0.121,11.18,36.56,4.47,34.48,8,1.23,sedentary,quiet,normal,calm,rested
3,24,58.93,44.38,97.55,0.108,9.95,36.66,4.54,41.31,0,1.23,sedentary,busy,normal,alert,rested
3,25,62.4,42.36,98.55,0.151,10.66,36.66,4.21,41.62,1,1.23,sedentary,busy,normal,calm,rested
3,26,63.59,47.2,97.98,0.127,10.63,36.64,3.78,36.51,12,1.23,sedentary,quiet,normal,calm,rested
3,27,57.96,49.68,97.63,0.208,10.18,36.65,4.44,42.23,16,1.23,sedentary,busy,normal,calm,rested
3,28,65.05,47.52,97.5,0.286,10.21,36.61,4.43,39.58,19,1.23,sedentary,quiet,normal,calm,rested
3,29,62.69,42.86,97.8,0.216,10.89,36.7,4.21,33.18,14,1.23,sedentary,quiet,normal,calm,rested
3,30,60.6,54.06,97.91,0.113,11.87,36.75,3.77,41.57,16,1.23,sedentary,busy,normal,calm,rested
3,31,64.66,50.99,97.9,0.189,12.18,36.56,5.05,43.89,7,1.23,sedentary,busy,normal,alert,rested
3,32,64.91,55.16,97.41,0.246,11.2,36.68,4.36,38.57,19,1.23,sedentary,quiet,normal,calm,rested
3,33,65.07,49.18,96.99,0.146,10.83,36.53,4.4,39.61,17,1.23,sedentary,quiet,normal,calm,rested
3,34,64.12,49.52,97.04,0.161,10.89,36.64,4.27,38.5,15,1.23,sedentary,quiet,normal,calm,rested
3,35,72.78,47.89,97.45,0.244,11.24,36.62,4.8,34.51,22,1.23,moderate,quiet,normal,alert,rested
3,36,68.13,57.8,97.07,0.385,11.66,36.49,4.96,37.74,15,1.23,sedentary,quiet,normal,alert,rested
3,37,69.84,52.93,97.67,0.255,12.28,36.62,4.98,34.59,27,1.23,moderate,quiet,normal,alert,rested
3,38,67.83,60.71,97.42,0.316,11.41,36.55,4.9,34.31,15,1.23,sedentary,quiet,normal,alert,rested
3,39,67.67,54.68,97.29,0.341,11.65,36.6,4.85,37.87,23,1.23,moderate,quiet,normal,alert,rested
3,40,62.83,55.2,96.94,0.176,10.77,36.53,4.34,41.64,21,1.23,moderate,busy,normal,calm,rested
3,41,63.75,52.92,97.51,0.204,11.73,36.52,4.86,32.61,22,1.23,moderate,quiet,normal,alert,rested
3,42,66.42,63.62,97.14,0.218,12.47,36.52,4.95,35.38,31,1.23,moderate,quiet,normal,alert,rested
3,43,66.01,55.56,97.71,0.236,11.84,36.55,5.06,34.44,22,1.23,moderate,quiet,normal,alert,rested
3,44,64.87,51.75,97.04,0.363,12.74,36.64,4.79,35.08,15,1.23,sedentary,quiet,normal,alert,rested
3,45,70.83,48.8,97.23,0.225,12.77,36.45,5.09,42.8,19,1.23,sedentary,busy,normal,alert,rested
3,46,67.46,48.12,97.39,0.255,10.1,36.52,4.81,32.48,10,1.23,sedentary,quiet,normal,alert,rested
3,47,63.84,50.37,97.38,0.193,10.95,36.5,4.49,38.17,16,1.23,sedentary,quiet,normal,calm,rested
4,0,65.13,48.61,98.23,0.31,10.27,36.55,4.85,34.88,12,0.35,sedentary,quiet,normal,alert,rested
4,1,61.3,48.58,98.18,0.132,11.82,36.46,4.18,41.64,22,0.35,moderate,busy,normal,calm,rested
4,2,60.12,48.56,98.01,0.055,10.34,36.45,4.12,36.72,9,0.35,sedentary,quiet,normal,calm,rested
4,3,63.83,46.44,98.88,0.164,11.27,36.53,4.81,37.06,12,0.35,sedentary,quiet,normal,alert,rested
4,4,63.95,42.01,97.69,0.229,10.42,36.47,5.0,37.73,16,0.35,sedentary,quiet,normal,alert,rested
4,5,57.9,42.6,97.94,0.181,10.04,36.48,4.61,36.27,5,0.35,sedentary,quiet,normal,alert,rested
4,6,52.86,40.66,97.46,0.169,9.88,36.48,4.63,43.78,0,0.35,sedentary,busy,normal,alert,rested
4,7,57.2,44.46,97.59,0.218,10.11,36.53,4.65,30.81,0,0.35,sedentary,quiet,normal,alert,rested
4,8,52.48,44.68,97.71,0.18,10.79,36.66,4.55,42.83,3,0.35,sedentary,busy,normal,alert,rested
4,9,56.31,36.88,97.1,0.231,8.85,36.57,4.7,39.66,0,0.35,sedentary,quiet,normal,alert,rested
4,10,64.03,34.74,96.9,0.336,11.59,36.5,5.39,34.97,7,0.35,sedentary,quiet,normal,alert,rested
4,11,56.45,46.03,97.95,0.243,11.9,36.51,4.78,44.71,0,0.35,sedentary,busy,normal,alert,rested
4,12,54.48,39.5,97.39,0.336,9.66,36.58,5.08,43.79,0,0.35,sedentary,busy,normal,alert,rested
4,13,52.87,39.09,96.95,0.415,9.1,36.61,4.58,43.05,3,0.35,sedentary,busy,normal,alert,rested
4,14,56.58,40.55,97.07,0.362,10.07,36.63,4.91,29.89,0,0.35,sedentary,quiet,normal,alert,rested
4,15,59.95,43.57,97.26,0.29,9.92,36.64,5.06,35.04,2,0.35,sedentary,quiet,normal,alert,rested
4,16,59.47,36.65,97.18,0.325,10.59,36.59,4.7,36.66,1,0.35,sedentary,quiet,normal,alert,rested
4,17,57.78,39.89,96.75,0.184,10.59,36.56,4.88,36.79,0,0.35,sedentary,quiet,normal,alert,rested
4,18,57.19,45.53,97.47,0.229,9.38,36.66,5.11,40.3,7,0.35,sedentary,busy,normal,alert,rested
4,19,58.82,37.26,97.4,0.276,10.78,36.62,4.69,39.66,9,0.35,sedentary,quiet,normal,alert,rested
4,20,60.71,43.87,97.65,0.135,9.77,36.64,4.96,39.91,6,0.35,sedentary,quiet,normal,alert,rested
4,21,55.08,38.4,98.03,0.2,9.74,36.7,4.65,48.93,11,0.35,sedentary,busy,normal,alert,rested
4,22,60.4,43.25,97.76,0.184,9.77,36.71,4.57,28.93,1,0.35,sedentary,quiet,normal,alert,rested
4,23,58.19,47.63,97.75,0.305,9.78,36.61,4.72,36.17,0,0.35,sedentary,quiet,normal,alert,rested
4,24,59.71,43.42,98.09,0.272,9.9,36.65,4.32,38.57,13,0.35,sedentary,quiet,normal,calm,rested
4,25,62.11,45.01,97.53,0.034,10.75,36.67,4.5,36.73,24,0.35,moderate,quiet,normal,calm,rested
4,26,62.4,46.34,98.07,0.121,11.21,36.56,4.47,38.41,12,0.35,sedentary,quiet,normal,calm,rested
4,27,63.75,45.0,97.46,0.347,11.5,36.63,4.49,39.81,24,0.35,moderate,quiet,normal,calm,rested
4,28,66.89,51.06,97.54,0.385,11.26,36.62,4.08,35.51,12,0.35,sedentary,quiet,normal,calm,rested
4,29,66.75,53.52,98.08,0.269,11.92,36.77,4.8,44.21,7,0.35,sedentary,busy,normal,alert,rested
4,30,63.64,49.41,96.46,0.273,12.36,36.62,4.67,35.58,14,0.35,sedentary,quiet,normal,alert,rested
4,31,66.82,48.89,97.92,0.118,11.81,36.62,5.13,41.13,6,0.35,sedentary,busy,normal,alert,rested
4,32,60.59,50.18,97.18,0.256,11.71,36.67,4.33,31.98,21,0.35,moderate,quiet,normal,calm,rested
4,33,66.2,53.49,97.06,0.254,12.66,36.55,4.43,40.3,30,0.35,moderate,busy,normal,calm,rested
4,34,66.95,50.5,96.47,0.283,11.07,36.73,5.54,38.97,24,0.35,moderate,quiet,normal,alert,rested
4,35,67.45,58.08,97.23,0.262,12.68,36.64,5.51,32.65,18,0.35,sedentary,quiet,normal,alert,rested
4,36,65.66,57.42,97.01,0.3,11.19,36.59,5.58,44.26,11,0.35,sedentary,busy,normal,alert,rested
4,37,68.91,57.48,97.0,0.162,12.3,36.59,5.07,38.04,36,0.35,moderate,quiet,normal,alert,rested
4,38,65.69,53.47,97.41,0.309,11.07,36.64,4.46,38.6,20,0.35,moderate,quiet,normal,calm,rested
